code,weight
600028,1.829
600030,2.819
600031,1.303
600036,5.996
600048,0.986
600050,1.341
600089,1.164
600104,1.059
600111,0.737
600150,1.245
600276,3.088
600309,2.346
600406,1.471
600436,1.037
600438,1.011
600519,16.09
600690,1.421
600809,1.799
600887,2.672
600893,0.681
600900,3.671
600905,1.01
601012,1.779
601088,1.939
601166,3.452
601225,1.464
601288,2.031
601318,6.607
601390,1.083
601398,2.784
601601,1.184
601628,0.714
601633,0.425
601668,1.652
601669,0.644
601728,1.42
601857,1.685
601888,1.254
601899,4.168
601919,0.993
601988,1.395
603259,1.426
603288,0.989
603501,1.08
603799,0.558
603986,0.721
688041,1.081
688111,1.011
688599,0.389
688981,1.296
